"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 17, 2003","107.51","107.91","108.61","106.86","143.70M","-0.37%"
"Jul 16, 2003","107.91","109.19","109.93","107.51","225.65M","-1.17%"
"Jul 15, 2003","109.19","106.59","109.24","106.52","259.16M","2.44%"
"Jul 14, 2003","106.59","104.55","107.13","104.55","140.41M","1.95%"
"Jul 11, 2003","104.55","104.00","105.38","103.71","107.48M","0.53%"
"Jul 10, 2003","104.00","103.65","104.68","103.31","133.72M","0.34%"
"Jul 09, 2003","103.65","105.47","105.47","102.69","110.89M","-1.73%"
"Jul 08, 2003","105.47","103.52","105.47","102.87","136.57M","1.88%"
"Jul 07, 2003","103.52","105.03","105.03","101.82","105.18M","-1.44%"
"Jul 04, 2003","105.03","107.27","108.09","104.29","131.94M","-2.09%"
"Jul 03, 2003","107.27","106.91","107.60","106.03","93.91M","0.34%"
"Jul 02, 2003","106.91","107.50","107.96","106.37","98.82M","-0.55%"
"Jul 01, 2003","107.50","108.84","109.74","106.82","108.89M","-1.23%"
"Jun 30, 2003","108.84","109.81","109.94","108.15","118.04M","-0.88%"
"Jun 27, 2003","109.81","109.28","110.13","109.22","87.16M","0.48%"
"Jun 26, 2003","109.28","107.40","109.48","107.40","128.89M","1.75%"
"Jun 25, 2003","107.40","107.57","107.62","106.51","77.01M","-0.16%"
"Jun 24, 2003","107.57","107.47","108.87","107.10","107.86M","0.09%"
"Jun 23, 2003","107.47","107.84","108.39","106.84","84.36M","-0.34%"
"Jun 20, 2003","107.84","109.03","109.91","107.45","133.18M","-1.09%"
"Jun 19, 2003","109.03","111.08","111.23","108.59","140.11M","-1.85%"
"Jun 18, 2003","111.08","111.69","113.14","110.21","266.20M","-0.55%"
"Jun 17, 2003","111.69","110.37","112.25","110.37","233.72M","1.20%"
"Jun 16, 2003","110.37","107.14","110.37","106.59","209.94M","3.01%"
"Jun 13, 2003","107.14","104.89","107.20","104.74","130.14M","2.15%"
"Jun 12, 2003","104.89","105.97","106.27","103.96","126.00M","-1.02%"
"Jun 11, 2003","105.97","106.45","106.58","104.41","121.34M","-0.45%"
"Jun 10, 2003","106.45","108.28","109.05","106.30","113.28M","-1.69%"
"Jun 09, 2003","108.28","109.73","109.73","106.53","121.97M","-1.32%"
"Jun 06, 2003","109.73","111.30","112.59","109.29","164.94M","-1.41%"
"Jun 05, 2003","111.30","110.85","112.03","110.04","145.76M","0.41%"
"Jun 04, 2003","110.85","113.47","114.41","110.37","179.43M","-2.31%"
"Jun 03, 2003","113.47","115.79","116.33","112.23","235.38M","-2.00%"
"Jun 02, 2003","115.79","113.81","116.03","113.80","233.07M","1.74%"
"May 30, 2003","113.81","114.07","114.96","113.15","208.79M","-0.23%"
"May 29, 2003","114.07","114.37","116.14","113.69","341.32M","-0.26%"
"May 28, 2003","114.37","110.89","114.57","110.89","388.25M","3.14%"
"May 27, 2003","110.89","111.25","111.84","109.76","223.98M","-0.32%"
"May 26, 2003","111.25","110.56","112.44","110.15","400.71M","0.62%"
"May 23, 2003","110.56","106.95","110.56","106.95","305.37M","3.38%"
"May 22, 2003","106.95","105.41","107.24","105.41","229.49M","1.46%"
"May 21, 2003","105.41","104.27","106.03","103.85","269.00M","1.09%"
"May 20, 2003","104.27","103.06","104.27","101.84","130.56M","1.17%"
"May 16, 2003","103.06","102.29","103.35","102.22","98.05M","0.75%"
"May 15, 2003","102.29","103.93","104.85","101.68","141.22M","-1.58%"
"May 14, 2003","103.93","105.91","105.91","103.53","135.80M","-1.87%"
"May 13, 2003","105.91","107.13","108.20","105.22","214.39M","-1.14%"
"May 12, 2003","107.13","106.40","107.66","106.22","186.78M","0.69%"
"May 09, 2003","106.40","107.84","108.40","105.76","154.19M","-1.34%"
"May 08, 2003","107.84","106.76","108.36","106.76","200.59M","1.01%"
"May 07, 2003","106.76","109.63","109.63","106.09","221.98M","-2.62%"
"May 06, 2003","109.63","111.12","112.33","108.39","218.60M","-1.34%"
"May 05, 2003","111.12","113.01","114.07","110.95","156.15M","-1.67%"
"May 02, 2003","113.01","114.68","114.96","112.49","165.77M","-1.46%"
"May 01, 2003","114.68","115.10","116.21","114.10","240.55M","-0.36%"
"Apr 30, 2003","115.10","114.36","116.24","114.36","286.88M","0.65%"
"Apr 29, 2003","114.36","113.11","114.62","112.33","167.84M","1.11%"
"Apr 28, 2003","113.11","113.41","115.04","112.68","201.29M","-0.26%"
"Apr 25, 2003","113.41","111.20","113.60","110.95","242.20M","1.99%"
"Apr 24, 2003","111.20","114.05","114.05","110.67","313.91M","-2.50%"
"Apr 22, 2003","114.05","115.05","115.76","113.66","305.17M","-0.87%"
"Apr 21, 2003","115.05","112.54","115.29","112.54","343.10M","2.23%"
"Apr 18, 2003","112.54","112.19","113.41","111.73","-","0.31%"
"Apr 17, 2003","112.19","113.66","114.54","111.36","-","-1.29%"
"Apr 16, 2003","113.66","111.69","113.70","111.00","366.11M","1.76%"
"Apr 15, 2003","111.69","111.03","113.79","111.03","532.02M","0.59%"
"Apr 14, 2003","111.03","105.66","111.03","105.66","-","5.08%"
"Apr 11, 2003","105.66","106.30","107.46","105.12","229.53M","-0.60%"
"Apr 10, 2003","106.30","108.86","108.92","101.56","393.08M","-2.35%"
"Apr 09, 2003","108.86","105.13","108.97","103.09","253.34M","3.55%"
"Apr 08, 2003","105.13","107.43","107.75","104.45","225.20M","-2.14%"
"Apr 07, 2003","107.43","104.15","107.78","104.15","220.55M","3.15%"
"Apr 04, 2003","104.15","101.53","105.04","101.53","270.60M","2.58%"
"Apr 03, 2003","101.53","98.05","102.01","98.05","192.95M","3.55%"
"Apr 02, 2003","98.05","97.74","98.75","96.11","191.39M","0.32%"
"Apr 01, 2003","97.74","94.75","97.74","94.75","122.67M","3.16%"
"Mar 31, 2003","94.75","96.31","96.45","93.71","94.73M","-1.62%"
"Mar 28, 2003","96.31","95.72","96.31","94.08","112.77M","0.62%"
"Mar 27, 2003","95.72","94.08","95.72","93.56","113.68M","1.74%"
"Mar 26, 2003","94.08","91.88","97.22","91.88","151.12M","2.39%"
"Mar 25, 2003","91.88","88.93","93.34","88.93","199.63M","3.32%"
"Mar 24, 2003","88.93","94.07","94.07","87.92","112.31M","-5.46%"
"Mar 21, 2003","94.07","96.44","96.44","89.51","180.32M","-2.46%"
"Mar 20, 2003","96.44","99.38","101.53","96.05","161.57M","-2.96%"
"Mar 19, 2003","99.38","105.81","105.81","96.47","227.38M","-6.08%"
"Mar 18, 2003","105.81","94.83","105.81","94.83","197.41M","11.58%"
"Mar 17, 2003","94.83","106.04","106.04","92.70","-","-10.57%"
"Mar 14, 2003","106.04","106.67","106.67","104.54","82.94M","-0.59%"
"Mar 13, 2003","106.67","106.14","106.74","103.92","86.56M","0.50%"
"Mar 12, 2003","106.14","107.45","107.45","105.18","92.28M","-1.22%"
"Mar 11, 2003","107.45","108.17","108.17","105.17","104.88M","-0.67%"
